       color1       color2       pixelRatio      Response
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       20.00        43.00         465.00         2.00
       20.00        43.00         465.00         2.00
       20.00        43.00         465.00         2.00
       22.00        16.00        1375.00         1.00
       22.00        16.00        1375.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        48.00         458.00         2.00
       22.00        48.00         458.00         2.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        48.00         895.00         1.00
       43.00        48.00         895.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       59.00        68.00         867.00         1.00
       59.00        68.00         867.00         1.00
       43.00        48.00         895.00         1.00
       43.00        48.00         895.00         1.00
       43.00        48.00         895.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       59.00        51.00        1156.00         1.00
       59.00        51.00        1156.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       59.00        68.00         867.00         1.00
       59.00        68.00         867.00         1.00
       64.00        57.00        1122.00         1.00
       64.00        57.00        1122.00         1.00
       64.00        57.00        1122.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       22.00        43.00         511.00         2.00
       22.00        43.00         511.00         2.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       22.00        16.00        1375.00         1.00
       22.00        16.00        1375.00         1.00
       22.00        17.00        1294.00         1.00
       22.00        17.00        1294.00         1.00
       22.00        17.00        1294.00         1.00
       22.00        32.00         687.00         1.00
       22.00        32.00         687.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       20.00        43.00         465.00         2.00
       20.00        43.00         465.00         2.00
       20.00        43.00         465.00         2.00
       22.00        16.00        1375.00         1.00
       22.00        16.00        1375.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        48.00         458.00         2.00
       22.00        48.00         458.00         2.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        48.00         895.00         1.00
       43.00        48.00         895.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       59.00        68.00         867.00         1.00
       59.00        68.00         867.00         1.00
       43.00        48.00         895.00         1.00
       43.00        48.00         895.00         1.00
       43.00        48.00         895.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       40.00        34.00        1176.00         1.00
       40.00        34.00        1176.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       59.00        51.00        1156.00         1.00
       59.00        51.00        1156.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       64.00        68.00         941.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       59.00        68.00         867.00         1.00
       59.00        68.00         867.00         1.00
       64.00        57.00        1122.00         1.00
       64.00        57.00        1122.00         1.00
       64.00        57.00        1122.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       22.00        43.00         511.00         2.00
       22.00        43.00         511.00         2.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       20.00        15.00        1333.00         1.00
       20.00        15.00        1333.00         1.00
       20.00        15.00        1333.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        32.00         687.00         1.00
       22.00        32.00         687.00         1.00
       22.00        32.00         687.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        43.00         930.00         1.00
       40.00        43.00         930.00         1.00
       40.00        43.00         930.00         1.00
       20.00        29.00         689.00         1.00
       20.00        29.00         689.00         1.00
       40.00        16.00        2500.00         2.00
       40.00        16.00        2500.00         2.00
       40.00        29.00        1379.00         1.00
       40.00        29.00        1379.00         1.00
       40.00        29.00        1379.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       59.00        64.00         921.00         1.00
       59.00        64.00         921.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       22.00        32.00         687.00         1.00
       22.00        32.00         687.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       20.00        29.00         689.00         1.00
       20.00        29.00         689.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       22.00        29.00         758.00         1.00
       40.00        32.00        1250.00         1.00
       40.00        32.00        1250.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       59.00        64.00         921.00         1.00
       59.00        64.00         921.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       59.00        64.00         921.00         1.00
       59.00        64.00         921.00         1.00
       59.00        64.00         921.00         1.00
       59.00        68.00         867.00         1.00
       59.00        68.00         867.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        48.00         833.00         1.00
       40.00        43.00         930.00         1.00
       40.00        43.00         930.00         1.00
       40.00        43.00         930.00         1.00
       40.00        43.00         930.00         1.00
       40.00        43.00         930.00         1.00
       20.00        29.00         689.00         1.00
       20.00        29.00         689.00         1.00
       20.00        15.00        1333.00         1.00
       20.00        15.00        1333.00         1.00
       40.00        32.00        1250.00         1.00
       40.00        32.00        1250.00         1.00
       40.00        32.00        1250.00         1.00
       40.00        32.00        1250.00         1.00
